,sentence,label
36,"Он не мог понять, как он сам не догадался сделать это в свое время. Как теперь оказался на окраине любых мыслей, как он стал наблюдателем, ничтожнейшим из наблюдателей — бесцельным. Он всегда чувствовал себя каким-то отдельным существом, не человеком, а только учеником людей.,Он какое-то отдельное существо, не человек, а только ученик людей.",0
37,"Решение было принято комиссией по обеспечению безопасности дорожного движения при управе Центрального административного округа. Отмечается, что на данном участке дороги часто происходят аварии. Принятая мера должна повысить безопасность.,На данном участке дороги часто происходят аварии.",0
38,"Даже если таковой найдется среди нас, здесь, то я все равно не поверю, что он этого не понимает. Это, как говорится, прописные истины, и потому все мы это прекрасно понимаем. Если говорить о себе лично, то я почему-то почти уверен, что все мы по этому поводу думаем одинаково, — иначе я просто засомневался бы, есть ли в этом мире хоть что-нибудь такое, что мы в нем понимаем.,Все мы по этому поводу думаем одинаково.",1
39,"Весело если — смейся, Если печально — плачь. Но сразу то и другое — Мой не осилит дух. Думаю о покое, Где правит одно из двух.,Есть покой, где правит одно из двух.",0
40,"Скорость изменений такова, что культура в целом не успевает адаптироваться. Мы не успеваем выработать в ответ ритуалы, какие-то корректирующие механизмы, какие-то дорожные карты, которые были бы универсальными. Конечно, я не думаю, что социальная зрелость может отодвигаться бесконечно, да и скорость изменений не может увеличиваться бесконечно.,Социальная зрелость может отодвигаться бесконечно, да и скорость изменений не может увеличиваться бесконечно.",2
41,"Тамошнюю добычу отправляли в столицу, нам оставались только слухи. — Это было железо, упавшее с неба, — начал рассказывать человек. — Вот такой вот комочек, — он показал мне выпуклый ноготь.,Комочек был размером с выпуклый ноготь.",0
42,"– Обе жертвы скончались на месте. После этого мужчина вынес из дома деньги и медали, принадлежавшие его бабушке. В ходе следствия преступник полностью признал свою вину.,Мужчина был виноват.",0
43,"Растерянно перекладываю из руки на руку ненужную шубку, враз потускневшую и прибавившую в весе, и попадаю в объятия шумного господина. Господин радостно тормошит меня, выкрикивая приветствия и комплименты. Мне неловко за свою холодность, но никакой радости не чувствую – только растерянность и усталость.,Я рада.",2
44,"Само собой, я на ней гораздо моложе и симпатичней. Понимаешь, хотелось предстать в лучшем виде, ну я и выбрал самую удачную фотографию из своего... арсенала. Надеюсь, ты не очень разочарована при виде реального меня.,Ты не очень разочарована при виде реального меня.",1
45,"Прямо как мы! (Заметим, в скобках, что структура анекдота похожа на нашу серию “русский, немец и поляк”.) Надо сказать, что корейцы пьют не только чай.,Корейцы пьют не только чай.",1
46,"Писатель с удивлением посмотрел на Пиара: – Я не знаю, почему вы так считаете, – сказал Писатель, чеканя каждое слово. – Хотя у вас свои основания для этого, мне, впрочем, совсем неизвестные. Но я считаю, что вы не правы и заблуждаетесь наравне со всеми.,Вы не правы и заблуждаетесь наравне со всеми.",0
47,"Предполагается, что ответственные лица из этих туристических агентств создали схемы, с помощью которых они уклонялись от уплаты налогов. По словам прокурора, пока никто задержан не был. Точное количество подозреваемых и роль каждого из них предстоит установить следствию.,Ответственные лица из этих туристических агентств создали схемы, с помощью которых они уклонялись от уплаты налогов.",1
48,"О, мой Бог, какое утро: Звезды падают с небес... Кто не видит эти звезды? Разве кто-то может спать? Кто не слышит эти трубы?,Звучат трубы.",0
49,"— Между тем одного адского шума, по забавному совпадению именуемого роком, достаточно, чтобы поставить точку. И не только в том, что касается музыки. Как вы думаете, почему африканцы так отстали в развитии от европейцев и азиатов?,Африканцы отстали в развитии от европейцев и азиатов.",1
50,"По вызову прибыли пожарные и участковый уполномоченный. Они обнаружили, что дверь в указанную квартиру закрыта, и на их звонки никто не отвечает. Они вышибли дверь, предполагая, что человеку необходима срочная помощь.,Человеку необходима срочная помощь.",1
51,"Да потому, что либо он меня, либо я его (в конце концов). Жалко. Действительно расстраивает тот факт, что не удастся вынуть свою штуковину и как следует пописать.,Не удастся вынуть свою штуковину и как следует пописать.",0
52,"Он, герой, то и дело чешет шлем, как витязь на распутье. Либо убить пресловутую старушку, либо так и загнуться тварью дрожащей от недостатка средств. Автор и герой наперебой убеждают нас с вами, что третьего (ну, четвертого, пятого) не дано.,Третьего ( ну, четвертого, пятого ) не дано.",0
53,"Это как в живописи: вся ответственность только на художнике. Вспомни, когда приступаешь к работе, то долго ищешь натуру — все не то, не то, — а потом вдруг — раз, нашел! С первого взгляда понимаешь, с первого взгляда чувствуешь.,Когда приступаешь к работе, то долго ищешь натуру.",1
54,"- Муниципальные службы проводили профилактическую обрезку деревьев, но у продовольственного магазина совершенно здоровые на вид деревья решили спилить.,Муниципальные службы спилили деревья у продовольственного магазина.",1
55,"И это способен сделать только архитектор. Поэтому я думаю, что у нашей профессии есть будущее. В работе над самым сложным зданием всегда должен быть кто-то, кто скажет, как оно должно выглядеть так и на что должно быть похоже.,Вот как оно должно выглядеть и вот на что должно быть похоже.",2
56,"— Подожди, — говорю, — положим, я скажу? Он же поймет, что ты наврала!,Ты наврала.",1
57,"Она же готовилась. Она же была уверена, что я жду и хочу. Женщина часто думает, что ее ждут больше, чем приносимых ею благ.,Я жду и хочу.",1
58,"По ее словам, она помнит лишь, что собиралась выйти из дома, а все остальные события злополучного утра стерлись из ее памяти, и пришла в себя она лишь в больнице.,Она вышла из дома.",1
59,"""В последнее время растет количество новых видов синтетических наркотиков как на нелегальном рынке сбыта наркотиков, так и на в сфере реализации лекарственных средств без рецепта"", - сказано в докладе.,В последнее время растет количество новых видов синтетических наркотиков как на нелегальном рынке сбыта наркотиков, так и на в сфере реализации лекарственных средств без рецепта.",0
60,"Сказал, что его дочь застряла рукой между звеньями чугунной батареи.,Его дочь застряла рукой между звеньями чугунной батареи.",1
61,"— Но так же не бывает! — терпеливо разъяснял он мне. — Понимаешь, обман получается.,Обман получается.",1
62,"При этом, она оговорилась, накануне хозяйка принимала гостя – соседа, с которым они выпивали. ВАЗ вскоре нашелся в кювете недалеко от соседнего села. Главным подозреваемым в этом деле стал как раз тот самый сосед.,Накануне соседка принимала гостя.",0
63,"Мы по-прежнему исходим из того, что был факт нарушения закона. Раз правонарушение было, соответственно виновные должны понести наказание. Речь Мадонны, ее призыв поддержать гомосексуальное сообщество, дают понять, что гомосексуализм это хорошо.,Был факт нарушения закона.",0
64,"Было возбуждено уголовное дело по статье «Присвоение или растрата». - Полицейские задержали мошенника. В отделе полиции мужчина полностью признал свою вину.,Мужчина был виновен.",0
65,"Изменила ли она что-то в нашей душе? Вряд ли. Мы твердим “Нравится, не нравится”, а по сути равнодушны, и те же художники это чувствуют.,Мы по сути равнодушны.",0
66,"Тогда как собственная смерть не значит ничего. И вы благодарны вашему убийце за то, что он не брезгует подойти вплотную. Все так изложено - я бы сказал, даже чересчур ясно.,Это изложено даже чересчур ясно.",2
67,"Все вернулось на круги своя. Но во мне многое изменилось. Теперь я спокойно, даже отстраненно оглядывалась на себя прежнюю и не понимала, зачем так долго обманывала себя.,Я долго обманывала себя.",2
68,"Но этого хватило, чтобы скульптура получилась внушительного размера. Длина палубы крейсера - шесть метров. Не забыли и раскрасить для большего сходства с оригиналом.,Скульптура была раскрашена.",2
69,"Благоприятно на это повлиял карантин в школах и образовательных учреждениях. Вполне возможно, что карантин мы продлим, чтобы школьники не болели. Это решение пока не принято.,Мы продлили карантин.",2
70,"Он не мог понять, как он сам не догадался сделать это в свое время. Как теперь оказался на окраине любых мыслей, как он стал наблюдателем, ничтожнейшим из наблюдателей — бесцельным. Он всегда чувствовал себя каким-то отдельным существом, не человеком, а только учеником людей.,Он сделал это в свое время.",2
71,"Как бы там ни было в таких случаях на самом деле покупатель имеет право обратиться с претензией к торговой сети или к производителю хлеба. Они обязаны поменять булку на качественную либо вернуть деньги. Если покупатель считает, что такая «начинка» нанесла вред его психике или здоровью, он также может потребовать материальную компенсацию.,Такая «начинка» нанесла вред психике или здоровью покупателя.",1
72,"Я приходил к ним и говорил: вот, есть такая программа, я готов ее вести. У меня неограниченное количество российских денег. Готовы вы принять участие в этой программе?,Я готов вести программу",1
73,"— Если бы у меня был мел, я бы разрисовал им парадное, — сказал я, — первый раз вижу не разрисованное мелом парадное.,Первый раз парадное не разрисовано мелом.",1
74,"Я считаю, что пока не нужно торопиться с регистрациями партий.,Пока не нужно торопиться с регистрациями партий.",1
75,"– Сейчас, сейчас, – говорил дед, – мне тут уже немного.,Деду оставалось уже немного.",1
76,"Каждый сам за себя! Живем вместе, а с ума сходим поодиночке. Идеология сытого брюха... Понимаете, сейчас идет новое перерождение человека.,Сейчас идет новое перерождение человека.",1
77,"Кроме того, ты, наверное, не помнишь, что спрашивала меня о некоторых вещах; письмо было ответом; неудивительно, что оно такое разбросанное, а факты изложены не в ожидаемом порядке, — все мои силы уходят на то, чтобы эти факты признать.,Ты спрашивала меня о некоторых вещах.",1
78,"Обеспокоилась судьбой серебряных ложек, которые лежали у рабочих, как говорится, на виду. Вдруг украдут! Стала убирать. В ответ мама со словами: “Да как ты смеешь так думать, дрянь! Это же РАБОЧИЕ, понимаешь, РАБОЧИЕ!!,Это РАБОЧИЕ!!",1
79,"И каких лет! И когда я это понял, я победил себя. Я знал, что я не позволю моей памяти забыть все, что я видел.,Я не позволил моей памяти забыть все, что я видел.",0
80,"Заведение находится недалеко от торгового центра «Север» и, судя по всему в скором времени будет готово начать работу.,Заведение в скором времени будет готово начать работу.",0
81,"""Обнаруженный в котловане в Оружейном переулке предмет является болванкой снаряда времени Великой Отечественной войны без взрывателя"", - сказали в пресс-службе.,Обнаруженный в котловане в Оружейном переулке предмет является болванкой снаряда времени Великой Отечественной войны без взрывателя.",0
82,"В ушах звучали слова несчастного. Я видел, как раскалённое железо с шипением погружается в плоть. — Я надеюсь и молю Небесного Отца, что твой поиск закончится.,Раскалённое железо с шипением погружается в плоть.",0
83,"— Извини, у меня тут дела накопились неотложные. — Врать я не мог, как не мог сказать и всю правду. — Но ведь нам надо встретиться, что-то решить.,Я сказал всю правду.",2
84,"Мы уже привыкли к тому, чтобы при входе в зал нас заставляли надевать специальные очки. Мы покоряемся. В противном случае изображение на экране будет казаться сильно размытым.,При входе в зал нас заставляют надевать специальные очки.",1
85,"Только через пару дней потерпевшая обнаружила пропажу денег. - Полицейские задержали мужчину. В отделе он признал вину и возместил часть похищенной суммы.,Мужчина был виноват.",1
86,"А в таких условиях сохранить здоровье невозможно. - Пора положить этому конец. Очередей за здоровьем быть не должно, - сказал губернатор.,Очередей за здоровьем быть не должно.",0
87,"В совершении преступления подозревают местного жителя.,Местный житель совершил преступление.",1
88,"Как ты смеешь говорить, что так ему и надо!,Так ему и надо!",2
89,"Тот помочился, хотя был уверен, что уже никогда этого не сумеет. “Вот так! — сказал доктор.,Он уже никогда этого не сумеет.",2
90,"""Выборы состоялись. Итоги известны. Выборы проведены в соответствии с российским законодательством о выборах"", - сказал он.,Выборы проведены в соответствии с российским законодательством о выборах.",1
91,"Кажется, такие мужчины называются брачными аферистами. Боже мой, что мне делать? Сказать ему, что я догадалась об обмане, или положить бумажник на место и пока притвориться, будто я не в курсе и всё прекрасно?,Такие мужчины называются брачными аферистами ",1
92,"Экспертный совет этим был удовлетворен, а руководство федерации считает, что радоваться рано.,Радоваться рано.",1
93,"– Ты рад, что тебя сюда привезли? – спросила она. – Да... потому, что я с вами познакомился, – сказал я и вдруг понял, что не солгал.,Тебя сюда привезли.",1
94,"И в этом состоит главный результат саммита. Никакого геополитического поворота не произошло. Убежден, уже и не произойдет.,Никакого геополитического поворота уже и не произойдет.",1
95,"Он толкнул жену, чтобы не было больше соблазна денег. Вот такое допущение сделал старик. Он был уверен, что так все и было, только доказать не мог.,Так все и было.",1
96,"В ходе судебного процесса было установлено, что остановка сердца и другие острые осложнения наблюдалась именно в течение рабочей смены медсестры. Ее коллеги по больнице, дававшие показания в суде, утверждают, что в течение длительного времени подозревали женщину в убийстве пациентов. Но никаких конкретных доказательств сторона обвинения пока не имеет, поэтому женщина решила обжаловать в суде свое пожизненное заключение.,Коллеги в течение длительного времени подозревали медсестру в убийстве пациентов.",0
97,"Скажи, разве я когда был такой свиньей, что не давал своим односельчанам барского зерна? Целыми возами давал увозить!,Я был такой свиньей, что не давал своим односельчанам барского зерна.",2
98,"Этого не может быть. Связь прервана. А я говорю вам... Вы уверены, что это она?,Это она.",2
99,"Как я матерюсь, так она врет. Ловлена с поличным неоднократно, принципов своих не предавала, продолжала врать и обижаться, что ей не верят. Свято помня отцовский завет “Наказывают не за преступление, а за то, что попался”, никогда ни в чем не признается.,Наказывают не за преступление, а за то, что попался.",1
100,"Реакция последовала оглушительная. Тренер рухнул на одно колено, так что чуть не перевернул ринг, и согнулся, держась за правый бок. – Ух ты, – сказал тренер, тяжело дыша, – ух ты, ух ты.,Тренер был восхищен.",1
101,"В ходе досмотра у злоумышленника изъяли орудие преступления. Его причастность к разбою подтвердили следы пальцев рук, изъятые криминалистами с дверной ручки при осмотре места происшествия. Задержанный свою вину полностью признал.,Злоумышленник причастен к разбою.",1
102,"Извини. — Бог с ней, с кофточкой. Ты говорил, что хочешь меня видеть.,Ты хочешь меня видеть.",0
103,"Сказал: выслушайте меня. Сказал: я люблю тебя. Сказал: мне не жить вдали от тебя... Она рассмеялась.,Мне не жить вдали от тебя.",1
104,"Они ж были довольны и уже хвалили нас, кинувшихся в порыве общем докладывать про тех иностранцев всякие разности: прорвался мой голос выше других, и я успел выпалить, что жвачки, которые они мне давали, даже не раскрывал, а сразу выбрасывал, и живо было чувство, что очистился душой. После нас допросили о тех, кто отнимает монетки. Просили указать внешность этих людей.,Жвачки, которые они мне давали, даже не раскрывал, а сразу выбрасывал.",1
105,"Настоящий друг. Выручил меня с оркестром. Не забуду.,Друг меня выручил.",2
106,"Не в том смысле, что их надо запрещать, имеют право, как все граждане, ходить по улицам с флагами и воплями. Но я их самих не понимаю. Ну, скажите, почему я не пляшу голым в защиту права спать со всеми женщинами подряд?,Я не пляшу голым в защиту права спать со всеми женщинами подряд",0
107,"Я не ошиблась! — Ты, ты... мне сказочно приятно с тобой! Я и не предполагала, что такое бывает.,Такое бывает.",2
108,"После того, как в этих местах построили маленький винный завод, населенный пункт “повысили” в статусе – деревня стала городом. Не исключено, что по такому случаю на одной из улиц были высажены тополя. С того момента в городке ее считали центральной.,Это центральная улица.",0
109,"Я ни слова не скажу по этой теме. Я не обязан рассказывать о своих переговорах с президентом клуба. Он, думаю, считает точно так же.,У меня были переговоры с президентом клуба.",0
110,"Посмотрев это видео, понимаешь, почему женщины живут дольше мужчин.,Женщины живут дольше мужчин.",0
